Address,Bldg No,exemptVSincomplete,School Type,Total Geogs,Category,City,Count,County,District Name,ESD,Enroll Text,Enrollment,Geography,Grade,Group,LL,Latitude,Longitude,Number of Records,Percent,Reliable,Reported,School Name,School Year,School District,State,Type,UL,Zip,Has6,Hask
10920 199TH AVE CT E,4502,exempt,PUBLIC,2764,Exemption,Bonney Lake,0,Pierce,Sumner,Educational Service District 121,0,0,School,K-12,Personal,0.0%,47.15875,-122.16402,1,0.0%,No,1,Mountain View Middle School,2018-19,Sumner,WA,PUBLIC,0.0%,98391,1,0
5000 Harbour Pointe Blv,4430,exempt,PUBLIC,2764,Exemption,Mukilteo,0,Snohomish,Mukilteo,Educational Service District 189,0,0,School,K-12,Personal,0.0%,47.8867,-122.29572,1,0.0%,No,1,Harbour Pointe Middle School,2018-19,Mukilteo,WA,PUBLIC,0.0%,98275,1,0
17409 E Sprague Ave,3573,exempt,PUBLIC,2764,Exemption,Spokane Val,0,Spokane,Central Valley,Educational Service District 101,0,0,School,K-12,Personal,0.0%,47.65912,-117.17043,1,0.0%,No,1,Greenacres Middle School,2018-19,Central Valley,WA,PUBLIC,0.0%,99016,1,0
10304 E 9th Ave,3890,exempt,PUBLIC,2764,Exemption,Spokane Val,0,Spokane,Central Valley,Educational Service District 101,0,0,School,K-12,Personal,0.0%,47.64903,-117.26617,1,0.0%,No,1,Evergreen Middle School,2018-19,Central Valley,WA,PUBLIC,0.0%,99206,1,0
2109 S Skipworth Rd,3260,exempt,PUBLIC,2764,Exemption,Spokane Val,0,Spokane,Central Valley,Educational Service District 101,0,0,School,K-12,Personal,0.0%,47.63742,-117.25196,1,0.0%,No,1,Bowdish Middle School,2018-19,Central Valley,WA,PUBLIC,0.0%,99206,1,0
701 N Pines Rd,2776,exempt,PUBLIC,2764,Exemption,Spokane Val,0,Spokane,Central Valley,Educational Service District 101,0,0,School,K-12,Personal,0.0%,47.66348,-117.23982,1,0.0%,No,1,North Pines Middle School,2018-19,Central Valley,WA,PUBLIC,0.0%,99206,1,0
3915 S Pines Rd,4185,exempt,PUBLIC,2764,Exemption,Spokane Val,0,Spokane,Central Valley,Educational Service District 101,0,0,School,K-12,Personal,0.0%,47.62142,-117.2392,1,0.0%,No,1,Horizon Middle School,2018-19,Central Valley,WA,PUBLIC,0.0%,99206,1,0
PO Box 128,3965,exempt,PUBLIC,2764,Exemption,Medical Lak,0,Spokane,Medical Lake,Educational Service District 101,0,0,School,K-12,Personal,0.0%,47.59022,-117.70167,1,0.0%,No,1,Medical Lake Middle School,2018-19,Medical Lake,WA,PUBLIC,0.0%,99022,1,0
PO Box 340,5293,exempt,PUBLIC,2764,Exemption,Lind,2,Adams,Ritzville,Educational Service District 101,50,50,School,K-12,Personal,3.2%,46.8692,-118.63488,1,4.0%,Yes,1,Lind-Ritzville Middle School,2018-19,Lind,WA,PUBLIC,5.5%,99341,1,0
37208 S FINLEY RD,4031,exempt,PUBLIC,2764,Exemption,Kennewick,7,Benton,Finley,Educational Service District 123,199,199,School,K-12,Personal,3.3%,46.15138,-119.03374,1,3.5%,Yes,1,Finley Middle School,2018-19,Finley,WA,PUBLIC,3.9%,99337,1,0
425 SOUTH TWEEDT STREET,3267,exempt,PUBLIC,2764,Exemption,Kennewick,7,Benton,Kennewick,Educational Service District 123,851,851,School,K-12,Personal,0.8%,46.20606,-119.17817,1,0.8%,Yes,1,Highlands Middle School,2018-19,Kennewick,WA,PUBLIC,0.9%,99336,1,0
3500 SOUTH VANCOUVER ST,4429,exempt,PUBLIC,2764,Exemption,Kennewick,23,Benton,Kennewick,Educational Service District 123,858,858,School,K-12,Personal,2.6%,46.1776,-119.15104,1,2.7%,Yes,1,Horse Heaven Hills Middle School,2018-19,Kennewick,WA,PUBLIC,2.8%,99337,1,0
6011 WEST 10TH PLACE,4028,exempt,PUBLIC,2764,Exemption,Kennewick,17,Benton,Kennewick,Educational Service District 123,914,914,School,K-12,Personal,1.8%,46.19681,-119.20514,1,1.9%,Yes,1,Desert Hills Middle School,2018-19,Kennewick,WA,PUBLIC,2.0%,99338,1,0
6011 W 10th Place,5439,exempt,PUBLIC,2764,Exemption,Kennewick,22,Benton,Kennewick,Educational Service District 123,965,965,School,K-12,Personal,2.2%,46.19681,-119.20514,1,2.3%,Yes,1,Chinook Middle School,2018-19,Kennewick,WA,PUBLIC,2.4%,99338,1,0
1105 Dale Avenue,3961,exempt,PUBLIC,2764,Exemption,Benton City,7,Benton,Kiona Benton,Educational Service District 123,320,320,School,K-12,Personal,2.0%,46.2635,-119.49085,1,2.2%,Yes,1,Kiona-Benton City Middle School,2018-19,Kiona Benton,WA,PUBLIC,2.4%,99320,1,0
2001 Highland Drive,2906,exempt,PUBLIC,2764,Exemption,Prosser,10,Benton,Prosser,Educational Service District 123,625,625,School,K-12,Personal,1.5%,46.20827,-119.75016,1,1.6%,Yes,1,Housel Middle School,2018-19,Prosser,WA,PUBLIC,1.7%,99350,1,0
620 Thayer Drive,2721,exempt,PUBLIC,2764,Exemption,Richland,5,Benton,Richland,Educational Service District 123,911,911,School,K-12,Personal,0.5%,46.27352,-119.28759,1,0.5%,Yes,1,Carmichael Middle School,2018-19,Richland,WA,PUBLIC,0.6%,99352,1,0
504 Wilson,2785,exempt,PUBLIC,2764,Exemption,Richland,26,Benton,Richland,Educational Service District 123,764,764,School,K-12,Personal,3.3%,46.29712,-119.28308,1,3.4%,Yes,1,Chief Joseph Middle School,2018-19,Richland,WA,PUBLIC,3.5%,99354,1,0
5200 Paradise Way,3926,exempt,PUBLIC,2764,Exemption,West Richla,9,Benton,Richland,Educational Service District 123,714,714,School,K-12,Personal,1.2%,46.28788,-119.35533,1,1.3%,Yes,1,Enterprise Middle School,2018-19,Richland,WA,PUBLIC,1.4%,99353,1,0
3259 Belmont Blvd.,5493,exempt,PUBLIC,2764,Exemption,West Richla,28,Benton,Richland,Educational Service District 123,730,730,School,K-12,Personal,3.7%,46.29499,-119.35665,1,3.8%,Yes,1,Leona Libby Middle School,2018-19,Richland,WA,PUBLIC,4.0%,99353,1,0
10195 Titus Rd,4403,exempt,PUBLIC,2764,Exemption,Leavenworth,21,Chelan,Cascade,Educational Service District 171,287,287,School,K-12,Personal,7.1%,47.6031,-120.66137,1,7.3%,Yes,1,Icicle River Middle School,2018-19,Cascade,WA,PUBLIC,7.6%,98826,1,0
300 Tigner Road,2315,exempt,PUBLIC,2764,Exemption,Cashmere,12,Chelan,Cashmere,Educational Service District 171,510,510,School,K-12,Personal,2.2%,47.51466,-120.47676,1,2.4%,Yes,1,Cashmere Middle School,2018-19,Cashmere,WA,PUBLIC,2.5%,98815,1,0
PO Box 369,2317,exempt,PUBLIC,2764,Exemption,Chelan,8,Chelan,Lake Chelan,Educational Service District 171,330,330,School,K-12,Personal,2.3%,47.83968,-120.15151,1,2.4%,Yes,1,Chelan Middle School,2018-19,Lake Chelan,WA,PUBLIC,2.7%,98816,1,0
1000 Totem Pole Rd,5286,exempt,PUBLIC,2764,Exemption,Manson,3,Chelan,Manson,Educational Service District 171,148,148,School,K-12,Personal,1.7%,47.89165,-120.15245,1,2.0%,Yes,1,Manson Middle School,2018-19,Manson,WA,PUBLIC,2.6%,98831,1,0
1410 MAPLE ST,4432,exempt,PUBLIC,2764,Exemption,Wenatchee,10,Chelan,Wenatchee,Educational Service District 171,591,591,School,K-12,Personal,1.6%,47.44278,-120.33782,1,1.7%,Yes,1,Foothills Middle School,2018-19,Wenatchee,WA,PUBLIC,1.8%,98801,1,0
3560 Deer St,3145,exempt,PUBLIC,2764,Exemption,Neah Bay,13,Clallam,Cape Flattery,Educational Service District 114,182,182,School,K-12,Personal,6.8%,48.36713,-124.61572,1,7.1%,Yes,1,Neah Bay Junior Senior High,2018-19,Cape Flattery,WA,PUBLIC,7.6%,98357,1,0
121 S Spartan Ave,5363,exempt,PUBLIC,2764,Exemption,Forks,2,Clallam,Quillayute Valley,Educational Service District 114,231,231,School,K-12,Personal,0.7%,47.94945,-124.38463,1,0.9%,Yes,1,Forks Intermediate School,2018-19,Quillayute Valley,WA,PUBLIC,1.2%,98331,1,0
PO Box 200,5089,exempt,PUBLIC,2764,Exemption,Battle Grou,33,Clark,Battle Ground,Educational Service District 112,466,466,School,K-12,Personal,6.9%,45.79235,-122.53488,1,7.1%,Yes,1,Daybreak Middle,2018-19,Battle Ground,WA,PUBLIC,7.3%,98604,1,0
PO Box 200,2671,exempt,PUBLIC,2764,Exemption,Battle Grou,39,Clark,Battle Ground,Educational Service District 112,590,590,School,K-12,Personal,6.5%,45.79235,-122.53488,1,6.6%,Yes,1,Amboy Middle School,2018-19,Battle Ground,WA,PUBLIC,6.8%,98604,1,0
PO Box 200,3545,exempt,PUBLIC,2764,Exemption,Battle Grou,42,Clark,Battle Ground,Educational Service District 112,688,688,School,K-12,Personal,6.0%,45.79235,-122.53488,1,6.1%,Yes,1,Laurin Middle School,2018-19,Battle Ground,WA,PUBLIC,6.3%,98604,1,0
PO BOX 200,5133,exempt,PUBLIC,2764,Exemption,Battle Grou,46,Clark,Battle Ground,Educational Service District 112,609,609,School,K-12,Personal,7.4%,45.79235,-122.53488,1,7.6%,Yes,1,Chief Umtuch Middle,2018-19,Battle Ground,WA,PUBLIC,7.7%,98604,1,0
PO Box 200,1836,exempt,PUBLIC,2764,Exemption,Battle Grou,100,Clark,Battle Ground,Educational Service District 112,539,539,School,K-12,Personal,18.4%,45.79235,-122.53488,1,18.6%,Yes,1,Cam Academy,2018-19,Battle Ground,WA,PUBLIC,18.8%,98604,1,0
1612 NE Garfield St,5054,exempt,PUBLIC,2764,Exemption,Camas,41,Clark,Camas,Educational Service District 112,753,753,School,K-12,Personal,5.3%,45.5915,-122.40199,1,5.4%,Yes,1,Liberty Middle School,2018-19,Camas,WA,PUBLIC,5.6%,98607,1,0
11200 NE Rosewood Rd,3320,exempt,PUBLIC,2764,Exemption,Vancouver,45,Clark,Evergreen (Clark),Educational Service District 112,1099,1099,School,K-12,Personal,4.0%,45.66892,-122.56068,1,4.1%,Yes,1,Covington Middle School,2018-19,Evergreen  (Clark),WA,PUBLIC,4.2%,98662,1,0
7600 NE 166th Avenue,4498,exempt,PUBLIC,2764,Exemption,Vancouver,48,Clark,Evergreen (Clark),Educational Service District 112,830,830,School,K-12,Personal,5.7%,45.67854,-122.50196,1,5.8%,Yes,1,Frontier Middle School,2018-19,Evergreen  (Clark),WA,PUBLIC,5.9%,98682,1,0
13900 NE 18th Street,3785,exempt,PUBLIC,2764,Exemption,Vancouver,41,Clark,Evergreen (Clark),Educational Service District 112,1003,1003,School,K-12,Personal,4.0%,45.63873,-122.52936,1,4.1%,Yes,1,Cascade Middle School,2018-19,Evergreen  (Clark),WA,PUBLIC,4.2%,98684,1,0
15916 NE 182ND AVE,3319,exempt,PUBLIC,2764,Exemption,Brush Prair,33,Clark,Hockinson,Educational Service District 112,481,481,School,K-12,Personal,6.7%,45.73954,-122.48725,1,6.9%,Yes,1,Hockinson Middle School,2018-19,Hockinson,WA,PUBLIC,7.1%,98606,1,0
PO Box 1750,3371,exempt,PUBLIC,2764,Exemption,La Center,25,Clark,La Center,Educational Service District 112,385,385,School,K-12,Personal,6.3%,45.87807,-122.62155,1,6.5%,Yes,1,La Center Middle School,2018-19,La Center,WA,PUBLIC,6.7%,98629,1,0
2920 FALK RD,1574,exempt,PUBLIC,2764,Exemption,Vancouver,2,Clark,Vancouver,Educational Service District 112,54,54,School,K-12,Personal,2.9%,45.64264,-122.63094,1,3.7%,Yes,1,Fir Grove Childrens Center,2018-19,Vancouver,WA,PUBLIC,5.1%,98661,1,0
5802 MACARTHUR BLVD,3146,exempt,PUBLIC,2764,Exemption,Vancouver,21,Clark,Vancouver,Educational Service District 112,1028,1028,School,K-12,Personal,2.0%,45.62419,-122.6096,1,2.0%,Yes,1,Mcloughlin Middle School,2018-19,Vancouver,WA,PUBLIC,2.1%,98661,1,0
800 E 40TH ST,4503,exempt,PUBLIC,2764,Exemption,Vancouver,28,Clark,Vancouver,Educational Service District 112,688,688,School,K-12,Personal,4.0%,45.65303,-122.66478,1,4.1%,Yes,1,Discovery Middle School,2018-19,Vancouver,WA,PUBLIC,4.2%,98663,1,0
8500 NW 9TH AVE,3543,exempt,PUBLIC,2764,Exemption,Vancouver,34,Clark,Vancouver,Educational Service District 112,718,718,School,K-12,Personal,4.6%,45.68355,-122.68152,1,4.7%,Yes,1,Jason Lee Middle School,2018-19,Vancouver,WA,PUBLIC,4.9%,98665,1,0
3000 NE 99TH ST,3902,exempt,PUBLIC,2764,Exemption,Vancouver,43,Clark,Vancouver,Educational Service District 112,919,919,School,K-12,Personal,4.6%,45.69507,-122.63976,1,4.7%,Yes,1,Gaiser Middle School,2018-19,Vancouver,WA,PUBLIC,4.8%,98665,1,0
1800 NW BLISS RD,4406,exempt,PUBLIC,2764,Exemption,Vancouver,23,Clark,Vancouver,Educational Service District 112,647,647,School,K-12,Personal,3.5%,45.72251,-122.6896,1,3.6%,Yes,1,Alki Middle School,2018-19,Vancouver,WA,PUBLIC,3.7%,98685,1,0
3000 NW 119TH ST,4591,exempt,PUBLIC,2764,Exemption,Vancouver,49,Clark,Vancouver,Educational Service District 112,864,864,School,K-12,Personal,5.6%,45.7073,-122.70219,1,5.7%,Yes,1,Jefferson Middle School,2018-19,Vancouver,WA,PUBLIC,5.8%,98685,1,0
35300 SE EVERGREEN HWY,4207,exempt,PUBLIC,2764,Exemption,Washougal,19,Clark,Washougal,Educational Service District 112,529,529,School,K-12,Personal,3.5%,45.57608,-122.31009,1,3.6%,Yes,1,Jemtegaard Middle School,2018-19,Washougal,WA,PUBLIC,3.8%,98671,1,0
548 China Garden Road,2561,exempt,PUBLIC,2764,Exemption,Kalama,12,Cowlitz,Kalama,Educational Service District 112,258,258,School,K-12,Personal,4.4%,46.00704,-122.83853,1,4.7%,Yes,1,Kalama Jr Sr High,2018-19,Kalama,WA,PUBLIC,5.0%,98625,1,0
500 Redpath,2916,exempt,PUBLIC,2764,Exemption,Kelso,12,Cowlitz,Kelso,Educational Service District 112,599,599,School,K-12,Personal,1.9%,46.15375,-122.90413,1,2.0%,Yes,1,Huntington Middle School,2018-19,Kelso,WA,PUBLIC,2.2%,98626,1,0
2000 Allen St,3322,exempt,PUBLIC,2764,Exemption,Kelso,14,Cowlitz,Kelso,Educational Service District 112,586,586,School,K-12,Personal,2.3%,46.14479,-122.89025,1,2.4%,Yes,1,Coweeman Middle School,2018-19,Kelso,WA,PUBLIC,2.5%,98626,1,0
1225 28th Avenue,2831,exempt,PUBLIC,2764,Exemption,Longview,7,Cowlitz,Longview,Educational Service District 112,560,560,School,K-12,Personal,1.2%,46.13904,-122.95897,1,1.3%,Yes,1,Monticello Middle School,2018-19,Longview,WA,PUBLIC,1.4%,98632,1,0
2821 Parkview Drive,3475,exempt,PUBLIC,2764,Exemption,Longview,10,Cowlitz,Longview,Educational Service District 112,572,572,School,K-12,Personal,1.7%,46.15538,-122.94177,1,1.7%,Yes,1,Cascade Middle School,2018-19,Longview,WA,PUBLIC,1.9%,98632,1,0
5300 Mt. Solo Road,4574,exempt,PUBLIC,2764,Exemption,Longview,18,Cowlitz,Longview,Educational Service District 112,434,434,School,K-12,Personal,4.0%,46.16438,-123.01944,1,4.1%,Yes,1,Mt Solo Middle School,2018-19,Longview,WA,PUBLIC,4.4%,98632,1,0
800 Third Street,5246,exempt,PUBLIC,2764,Exemption,Woodland,6,Cowlitz,Woodland,Educational Service District 112,42,42,School,K-12,Personal,13.1%,45.90478,-122.75148,1,14.3%,Yes,1,Lewis River Academy,2018-19,Woodland,WA,PUBLIC,16.1%,98674,1,0
PO Box 1060,4213,exempt,PUBLIC,2764,Exemption,Bridgeport,0,Douglas,Bridgeport,Educational Service District 171,186,186,School,K-12,Personal,0.0%,48.00877,-119.65712,1,0.0%,Yes,1,Bridgeport Middle School,2018-19,Bridgeport,WA,PUBLIC,0.4%,98813,1,0
1855 4th St SE,4590,exempt,PUBLIC,2764,Exemption,East Wenatc,10,Douglas,Eastmont,Educational Service District 171,702,702,School,K-12,Personal,1.3%,47.40006,-120.25609,1,1.4%,Yes,1,Clovis Point,2018-19,Eastmont,WA,PUBLIC,1.5%,98802,1,0
1 Hornet Avenue,4214,exempt,PUBLIC,2764,Exemption,Inchelium,0,Ferry,Inchelium,Educational Service District 101,55,55,School,K-12,Personal,0.0%,48.30148,-118.20073,1,0.0%,Yes,1,Inchelium Middle School,2018-19,Inchelium,WA,PUBLIC,1.3%,99138,1,0
715 N California,5394,exempt,PUBLIC,2764,Exemption,Pasco,2,Franklin,Pasco,Educational Service District 123,838,838,School,K-12,Personal,0.2%,46.23985,-119.08124,1,0.2%,Yes,1,Marie Curie Stem Elementary,2018-19,Pasco,WA,PUBLIC,0.3%,99301,1,0
6527 Patton Blvd,5354,exempt,PUBLIC,2764,Exemption,Moses Lake,2,Grant,Moses Lake,Educational Service District 171,261,261,School,K-12,Personal,0.6%,47.18036,-119.32517,1,0.8%,Yes,1,Endeavor Middle School,2018-19,Moses Lake,WA,PUBLIC,1.1%,98837,1,0
517 WEST THIRD AVENUE,2673,exempt,PUBLIC,2764,Exemption,Moses Lake,13,Grant,Moses Lake,Educational Service District 171,748,748,School,K-12,Personal,1.7%,47.12752,-119.28315,1,1.7%,Yes,1,Frontier Middle School Moses Lake,2018-19,Moses Lake,WA,PUBLIC,1.9%,98837,1,0
200 S FRUITLAND ST,1941,exempt,PUBLIC,2764,Exemption,Kennewick,52,Benton,Kennewick,Educational Service District 123,331,331,School,K-12,Personal,15.5%,46.20586,-119.12732,1,15.7%,Yes,1,Mid-Columbia Parent Partnership,2018-19,Kennewick,WA,PUBLIC,16.0%,99336,1,1
P.O. Box 337,3422,exempt,PUBLIC,2764,Exemption,Clallam Bay,4,Clallam,Cape Flattery,Educational Service District 114,120,120,School,K-12,Personal,3.0%,48.17431,-124.04099,1,3.3%,Yes,1,Clallam Bay High & Elementary,2018-19,Cape Flattery,WA,PUBLIC,4.0%,98326,1,1
50350 Wa-112,3473,exempt,PUBLIC,2764,Exemption,Joyce,11,Clallam,Crescent,Educational Service District 114,237,237,School,K-12,Personal,4.4%,48.18315,-123.87297,1,4.6%,Yes,1,Crescent School,2018-19,Crescent,WA,PUBLIC,5.0%,98343,1,1
PO Box 20,5030,exempt,PUBLIC,2764,Exemption,Joyce,26,Clallam,Crescent,Educational Service District 114,130,130,School,K-12,Personal,19.5%,48.18315,-123.87297,1,20.0%,Yes,1,Homeconnection,2018-19,Crescent,WA,PUBLIC,20.7%,98343,1,1
218 E 12TH ST,2368,exempt,PUBLIC,2764,Exemption,Port Angele,18,Clallam,Port Angeles,Educational Service District 114,317,317,School,K-12,Personal,5.5%,48.11041,-123.4453,1,5.7%,Yes,1,Jefferson Elementary Port Angeles,2018-19,Port Angeles,WA,PUBLIC,6.0%,98362,1,1
2505 S WASHINGTON ST,2909,exempt,PUBLIC,2764,Exemption,Port Angele,34,Clallam,Port Angeles,Educational Service District 114,417,417,School,K-12,Personal,8.0%,48.10251,-123.42321,1,8.2%,Yes,1,Franklin Elementary Port Angeles,2018-19,Port Angeles,WA,PUBLIC,8.4%,98362,1,1
25 RIFE RD,4494,exempt,PUBLIC,2764,Exemption,Port Angele,9,Clallam,Port Angeles,Educational Service District 114,320,320,School,K-12,Personal,2.6%,48.11266,-123.53568,1,2.8%,Yes,1,Dry Creek Elementary,2018-19,Port Angeles,WA,PUBLIC,3.1%,98363,1,1
1822 W 7TH ST,3079,exempt,PUBLIC,2764,Exemption,Port Angele,18,Clallam,Port Angeles,Educational Service District 114,413,413,School,K-12,Personal,4.2%,48.12808,-123.47411,1,4.4%,Yes,1,Hamilton Elementary,2018-19,Port Angeles,WA,PUBLIC,4.6%,98363,1,1
400 N Parkway,5291,exempt,PUBLIC,2764,Exemption,Battle Grou,58,Clark,Battle Ground,Educational Service District 112,475,475,School,K-12,Personal,12.0%,45.78426,-122.53698,1,12.2%,Yes,1,Maple Grove K-8,2018-19,Battle Ground,WA,PUBLIC,12.4%,98604,1,1
PO Box 200,1875,exempt,PUBLIC,2764,Exemption,Battle Grou,273,Clark,Battle Ground,Educational Service District 112,977,977,School,K-12,Personal,27.8%,45.79235,-122.53488,1,27.9%,Yes,1,Homelink River,2018-19,Battle Ground,WA,PUBLIC,28.1%,98604,1,1
13501 NE 28th Street,1926,exempt,PUBLIC,2764,Exemption,Vancouver,19,Clark,Evergreen (Clark),Educational Service District 112,148,148,School,K-12,Personal,12.4%,45.64093,-122.5333,1,12.8%,Yes,1,Home Choice Academy,2018-19,Evergreen  (Clark),WA,PUBLIC,13.4%,98682,1,1
13105 NE GRINNELL RD,2484,exempt,PUBLIC,2764,Exemption,Woodland,8,Clark,Green Mountain,Educational Service District 112,163,163,School,K-12,Personal,4.6%,45.94786,-122.53842,1,4.9%,Yes,1,Green Mountain School,2018-19,Green Mountain,WA,PUBLIC,5.4%,98674,1,1
